FID, AREA, PERIMETER, IRRIGATION, IRRIGATI_1, SHADE, STATUS, ACRE, Shape__Area, Shape__Length
1, 836042.072305, 4046.26865667, 3, 2, 4, IRRI, 206.585, 1313479.6796875, 5075.92642838376
2, 5842866.8356, 10492.0700095, 4, 3, 4, IRRI, 1443.76, 9166211.453125, 13134.1850206691
3, 1205230.97446, 5382.80729257, 5, 4, 4, IRRI, 297.815, 1805337.91796875, 6591.98287168173
4, 8305001.76798, 19348.3531945, 6, 5, 4, IRRI, 2052.17, 12425416.2109375, 23686.4477258929
5, 2132273.93354, 7654.51484168, 7, 6, 4, IRRI, 526.884, 3186299.65625, 9348.72067366137
